date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:20:59	22002/22002	---M-Z	200	added ('OK')	text/html	etag:%224dc3397-55f2-52ffad971da00-gzip%22	http://bootstraplovers.com/templates/assan-v2.4/assan-personal-portfolio/index.html	C:/xampp/htdocs/ProjPortfolio/bootstraplovers.com/templates/assan-v2.4/assan-personal-portfolio/index.html	(from )
16:20:59	857/857	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2030%20Aug%202016%2019:20:51%20GMT	http://bootstraplovers.com/robots.txt		(from )
16:21:01	121260/121260	---M--	200	added ('OK')	text/css	etag:%224e20108-1d9ac-525544ba2e300%22	http://bootstraplovers.com/templates/assan-v2.4/assan-personal-portfolio/bootstrap/css/bootstrap.min.css	C:/xampp/htdocs/ProjPortfolio/bootstraplovers.com/templates/assan-v2.4/assan-personal-portfolio/bootstrap/css/bootstrap.min.css	(from http://bootstraplovers.com/templates/assan-v2.4/assan-personal-portfolio/index.html)
16:21:01	72259/72259	---M--	200	added ('OK')	text/css	etag:%224e20118-11a43-531de5ee32b00%22	http://bootstraplovers.com/templates/assan-v2.4/assan-personal-portfolio/css/animate.css	C:/xampp/htdocs/ProjPortfolio/bootstraplovers.com/templates/assan-v2.4/assan-personal-portfolio/css/animate.css	(from http://bootstraplovers.com/templates/assan-v2.4/assan-personal-portfolio/index.html)
16:21:03	51284/51284	---M--	200	added ('OK')	text/css	etag:%224e20139-c854-50bc419543d80%22	http://bootstraplovers.com/templates/assan-v2.4/assan-personal-portfolio/ion-icons/css/ionicons.min.css	C:/xampp/htdocs/ProjPortfolio/bootstraplovers.com/templates/assan-v2.4/assan-personal-portfolio/ion-icons/css/ionicons.min.css	(from http://bootstraplovers.com/templates/assan-v2.4/assan-personal-portfolio/index.html)
16:21:05	6857/6857	---M--	200	added ('OK')	text/css	etag:%224e2011d-1ac9-524bbbbb15a80%22	http://bootstraplovers.com/templates/assan-v2.4/assan-personal-portfolio/flexslider/flexslider.css	C:/xampp/htdocs/ProjPortfolio/bootstraplovers.com/templates/assan-v2.4/assan-personal-portfolio/flexslider/flexslider.css	(from http://bootstraplovers.com/templates/assan-v2.4/assan-personal-portfolio/index.html)
16:21:06	3898/3898	---M--	200	added ('OK')	text/css	etag:%224e2014d-f3a-5255ee99bab00%22	http://bootstraplovers.com/templates/assan-v2.4/assan-personal-portfolio/lightbox2/dist/css/lightbox.css	C:/xampp/htdocs/ProjPortfolio/bootstraplovers.com/templates/assan-v2.4/assan-personal-portfolio/lightbox2/dist/css/lightbox.css	(from http://bootstraplovers.com/templates/assan-v2.4/assan-personal-portfolio/index.html)
16:21:06	10597/10597	---M--	200	added ('OK')	text/css	etag:%224e2011a-2965-52ffadd60ee80%22	http://bootstraplovers.com/templates/assan-v2.4/assan-personal-portfolio/css/style.css	C:/xampp/htdocs/ProjPortfolio/bootstraplovers.com/templates/assan-v2.4/assan-personal-portfolio/css/style.css	(from http://bootstraplovers.com/templates/assan-v2.4/assan-personal-portfolio/index.html)
16:21:06	1613/1613	---M--	200	added ('OK')	image/png	etag:%224e2012e-64d-52fe668653500%22	http://bootstraplovers.com/templates/assan-v2.4/assan-personal-portfolio/images/logo.png	C:/xampp/htdocs/ProjPortfolio/bootstraplovers.com/templates/assan-v2.4/assan-personal-portfolio/images/logo.png	(from http://bootstraplovers.com/templates/assan-v2.4/assan-personal-portfolio/index.html)
16:21:06	4670/4670	---M--	200	added ('OK')	image/jpeg	etag:%224e20126-123e-52fe7238dce00%22	http://bootstraplovers.com/templates/assan-v2.4/assan-personal-portfolio/images/avtar.jpg	C:/xampp/htdocs/ProjPortfolio/bootstraplovers.com/templates/assan-v2.4/assan-personal-portfolio/images/avtar.jpg	(from http://bootstraplovers.com/templates/assan-v2.4/assan-personal-portfolio/index.html)
16:21:14	39238/39238	---M--	200	added ('OK')	image/jpeg	etag:%224e20132-9946-52f9aee989780%22	http://bootstraplovers.com/templates/assan-v2.4/assan-personal-portfolio/images/w3.jpg	C:/xampp/htdocs/ProjPortfolio/bootstraplovers.com/templates/assan-v2.4/assan-personal-portfolio/images/w3.jpg	(from http://bootstraplovers.com/templates/assan-v2.4/assan-personal-portfolio/index.html)
16:21:15	77498/77498	---M--	200	added ('OK')	image/jpeg	etag:%224e20130-12eba-52f9aef312e00%22	http://bootstraplovers.com/templates/assan-v2.4/assan-personal-portfolio/images/w1.jpg	C:/xampp/htdocs/ProjPortfolio/bootstraplovers.com/templates/assan-v2.4/assan-personal-portfolio/images/w1.jpg	(from http://bootstraplovers.com/templates/assan-v2.4/assan-personal-portfolio/index.html)
16:21:18	71206/71206	---M--	200	added ('OK')	image/jpeg	etag:%224e20131-11626-52f6ddceccb00%22	http://bootstraplovers.com/templates/assan-v2.4/assan-personal-portfolio/images/w2.jpg	C:/xampp/htdocs/ProjPortfolio/bootstraplovers.com/templates/assan-v2.4/assan-personal-portfolio/images/w2.jpg	(from http://bootstraplovers.com/templates/assan-v2.4/assan-personal-portfolio/index.html)
16:21:20	6243/6243	---M--	200	added ('OK')	image/png	etag:%224e20129-1863-524826a943700%22	http://bootstraplovers.com/templates/assan-v2.4/assan-personal-portfolio/images/cl-1.png	C:/xampp/htdocs/ProjPortfolio/bootstraplovers.com/templates/assan-v2.4/assan-personal-portfolio/images/cl-1.png	(from http://bootstraplovers.com/templates/assan-v2.4/assan-personal-portfolio/index.html)
16:21:20	3214/3214	---M--	200	added ('OK')	image/png	etag:%224e2012a-c8e-524826ab2bb80%22	http://bootstraplovers.com/templates/assan-v2.4/assan-personal-portfolio/images/cl-2.png	C:/xampp/htdocs/ProjPortfolio/bootstraplovers.com/templates/assan-v2.4/assan-personal-portfolio/images/cl-2.png	(from http://bootstraplovers.com/templates/assan-v2.4/assan-personal-portfolio/index.html)
16:21:21	42917/42917	---M--	200	added ('OK')	image/jpeg	etag:%224e20134-a7a5-52f9aedc2f800%22	http://bootstraplovers.com/templates/assan-v2.4/assan-personal-portfolio/images/w5.jpg	C:/xampp/htdocs/ProjPortfolio/bootstraplovers.com/templates/assan-v2.4/assan-personal-portfolio/images/w5.jpg	(from http://bootstraplovers.com/templates/assan-v2.4/assan-personal-portfolio/index.html)
16:21:21	4363/4363	---M--	200	added ('OK')	image/png	etag:%224e2012b-110b-524826ab2bb80%22	http://bootstraplovers.com/templates/assan-v2.4/assan-personal-portfolio/images/cl-3.png	C:/xampp/htdocs/ProjPortfolio/bootstraplovers.com/templates/assan-v2.4/assan-personal-portfolio/images/cl-3.png	(from http://bootstraplovers.com/templates/assan-v2.4/assan-personal-portfolio/index.html)
16:21:22	88749/88749	---M--	200	added ('OK')	image/jpeg	etag:%224e20133-15aad-52f6de2c42780%22	http://bootstraplovers.com/templates/assan-v2.4/assan-personal-portfolio/images/w4.jpg	C:/xampp/htdocs/ProjPortfolio/bootstraplovers.com/templates/assan-v2.4/assan-personal-portfolio/images/w4.jpg	(from http://bootstraplovers.com/templates/assan-v2.4/assan-personal-portfolio/index.html)
16:21:22	3814/3814	---M--	200	added ('OK')	image/png	etag:%224e2012c-ee6-524826ab2bb80%22	http://bootstraplovers.com/templates/assan-v2.4/assan-personal-portfolio/images/cl-4.png	C:/xampp/htdocs/ProjPortfolio/bootstraplovers.com/templates/assan-v2.4/assan-personal-portfolio/images/cl-4.png	(from http://bootstraplovers.com/templates/assan-v2.4/assan-personal-portfolio/index.html)
